author,comment
cosmernaut420,"Finding nothing but enemies and strife may point you in the right direction, but treasure and secrets are always in the wrong direction."
TiredHappyDad,"Yup I hate exploring and accidentally going the way I was supposed to. Especially if it opens a cutscene and I can't go back.

Edit: so glad I made this comment. People have mentioned a few games on my list that I know to watch out for now. Lol"
xXDireLegendXx,Nothing gets me more annoyed than when I accidentally go the way I’m supposed to lol
zillskillnillfrill,Loot always takes precedence
JubbaTheHott,I love the dead space waypoint system. I wish every game had it and I’ve been saying so ever since it first came out.
Walrus_Morj,"I HATE when there is a crossroad and you go to explore every dead end, but it happens to be too long, so you consider it the right way, then you go another way, which is the right one, then cutscene starts, you fall down and can't go back and loot another way. Screw you, Callisto Protocol (anyway I enjoy the game so far)"
Firvulag,In this case both paths were the correct way but yes.
Amorphia1618,One of the best UX ever.
TXEEXT,"All this year playing final fantasy make me do this , you probably gonna miss some important key item for the best weapon 8n the game"
FurryCurry,Run left at the start of every 2D platformer because you just never know!
datsadpotato,One of the universal unspoken rules of gaming
C__T__P,"In every other game: yes

In a horror game: no"
DonnerMcgregor,"In LOU2 I find the correct path, and then search every other building looking for supplements and supplies"
foundmonster,"Yes, this is a perfect example of the excitement and value of video games - exploration."
Lunar_Lunacy_Stuff,This really came back to haunt me in the Botany area.
Wuntoothrie,"Yeah, if you follow the objective path you miss all the secrets, loot, easter eggs, and lore."
WraithCadmus,"~~Yes, and always carry a spare Power Node for supply closets, you'll make back what you spend.~~

Dead Space's UI is a masterpiece, please enjoy [this talk](https://www.youtube.com/watch?v=pXGWJRV1Zoc) on why they did what they did and some of the technical implementations.

EDIT: Apparently they got ride of Node closets."
CIMARUTA,Almost like this is what the devs intended... curious
Saucyminator,You're kidding me.. I've been opening the Inventory -> Map to see where I'm going. I'm an idiot.
WhatisLiamfucktrump,I need ammo mother fucker I wasted it all on figuring out that I can’t kill the hunter
NVBSCVN92,"Of course. Loot first, objective second. In case you get locked out"
ADHDavidThoreau,"Play-through 1: medium difficulty, focus on the main objectives and figure out the gameplay.

Play-through 2: highest difficulty, leave no stone unturned, skip all cutscenes."
Golett03,"An ""exploration"" setting would be good. It tells you when you're going the right direction and warns you if you're about to do something that you can't go back from. Then it tells you everything you missed in the area you can't return to"
xiosy,Imagine this game with a Ubisoft UI would completely destroy the immersion
solidpeyo,And the funny thing in this game you would have had to go the other next so there is no point in doing that
Puncredible,That's how you get the Endorphins. Finding stuff along a singular path wouldn't be nearly as gratifying as going along an optional path.
Lucky_Cookie515,Thats the Law Of Gaming!
hitma-n,I missed exploration opportunity twice like this in the last of us 2 because I thought i was supposed to go the other way but went the other way and it turned out to be the way I was supposed to go and now I can’t go back because apparently ellie jumped from a high platform and now is unable to climb back up.
Warlordrex5,"Friend/sibling backseat gaming you:


“Wrong way jackass.”
“But loot!”
“Good point.”"
GavrielBA,"I love my whole life like that....

Most family are not very happy. Some people think it's very cool.

Thank you video games!"
totallylegitnesss,"Best way to play games, this one specifically"
GabrielGamingAngel,My greed is greater than my fear
TreeTalk,What if the next room is a boss that destroys the entire ship and I miss a rare weapon or even worse.. an unlockable character!!
