author,comment
Vegetable-Cat139,"I am not sure you are playing the same Satisfactory as I am

Insanely cool"
ZombiePanda3000,"![gif](giphy|t9lPSqrGSc1IOnajTz)

Curious what your day job is. You seem to be light years beyond my talents."
ImKibitz,"AMAZING!!!  
Incredible detailing with the lights, integrating the waterfall, creative shapes; geeeeeez the whole 9 yards!"
jonnywah,![gif](giphy|V2AkNZZi9ygbm)
MrMistral,Veeery cool! Love the grated design. Are thos 1m walls?
CrusadeFluxo,Showcase Tour Here - https://youtu.be/d6-ViEUP1-M
thepipeworker,Wow!
Shendow,This is absolutely gorgeous and well-designed
CarfDarko,"You even can make a [Conveyor Lift look sexy!](https://youtu.be/d6-ViEUP1-M?t=123)

Also truly love the waterfall.

This is seriously amazing and inspiring :)"
Temporal_Illusion,"**Another Great Video Showcase By A Top Level Satisfactory Game Content Creator**

I think the OP's New Build Style for 2023 is very nice. For those interested view [Changes Made In Fluxo's World - Color Scheme](https://youtu.be/LFSYLj0k0eE?t=37) (Video Bookmark - Previous Video) - Gone is the Tan / Blue color scheme from 2022, and the introduction of a Tan / Brown 3-Color Scheme for 2023. 

I often encourage others to view the OPs other Factory Showcases and for those whom missed them be sure to check out the [OPs YouTube Channel](https://www.youtube.com/c/CrusadeFluxo/videos).

➔ WHAT IS IN THIS VIDEO (Bookmarks):

* [Intro](https://youtu.be/d6-ViEUP1-M?t=15) - Opening comments by the OP, and initial views of this Awesome Build.

* [Main Entrance and Vehicle Parking](https://youtu.be/d6-ViEUP1-M?t=50) - The ""imperfect"" Roadway Wall Railing on the left is an interesting ""design"", and emphasizes that not everything needs to be perfect to look good.

* [HQ Train Station](https://youtu.be/d6-ViEUP1-M?t=80) - This area is used to bring in Munitions Factory needed materials and resources.

* [HQ Main Platform](https://youtu.be/d6-ViEUP1-M?t=97) - This grand open area utilizing the large water fall as a ""design element"" is a great idea. ★ *NOTE: All Waterfalls are ""placeholders"" and will change with the eventual new look of Water* [*as previewed in this Devlog*](https://youtu.be/omjFqZQV9fI?t=83) *(Video Bookmark) when it is finally released Map-wide.*

* [HQ Munitions Factory Production](https://youtu.be/d6-ViEUP1-M?t=121) - Look at Heavy Oil Residue (HOR), Black Powder, Smokeless Powder, Rifle Ammo and Nobelisk Production Lines. I loved the inclusion of Spire Coast Biome Landscape into the overall design.

* [HQ Munition Center](https://youtu.be/d6-ViEUP1-M?t=172) - The Munition Center next to where the HUB will be is a great idea. Really liked the ""Overlook Window Design"" giving a great view of the rest of the Build in this World.

* [Encased HUB and Trophy Room](https://youtu.be/d6-ViEUP1-M?t=203) - The idea of ""encasing"" the HUB in Coated Concrete is very nice and highly ""steal-able"". The Trophy's in the Trophy Room were properly placed and not dropped as an ""item"".

* [Outro and Final Beauty Fly-Thru's](https://youtu.be/d6-ViEUP1-M?t=237) - Final comments by the OP and some more lovely shots of this fantastic Build.

★ This Post is worthy of my Upvote and Award.

*EDIT: Corrected Trophy Room comment to reflect comment by OP.*

Thanks for Sharing. 😁"
Comrade_Chumbucket,"Holy shit, this is amazing"
fhgwgads1200,Incredible.
KayOssOfficial,Love your builds! I've got so much inspiration from your videos.. keep up the great work and be a productive pioneer
JoDaJa,"At this point I’m not quite sure if we are still playing the same game…
It’s really beautiful!"
WettWednesday,We are not playing the same game 😩
SmellyC,Man I suck.  Square orange boxes everywhere.
TrueNorthStrong1898,Can you com build mine? That’s incredible! Way to go!
TakeshiKovacs46,"Dood, this has got *Evil Genius Lair* written all over it!! 

Great work, looks awesome."
frogeater1982,Incredible. I thought Spire coast aws unsafe to build because of major futur changes.
smashNcrabs,Jace would live here
Alex88FR,![gif](emote|free_emotes_pack|dizzy_face)
python_artist,Holy crap. This is awesome
roguevoid555,"This is exactly the inspiration I needed to get back into this game, thank you!  


Absolutely stunning build, by the way"
sir_ramen,I sincerely wish we get benches and chairs at some point so we can 'sit' and just 'chill' to watch the 'sunset' and appreciate the world ^^[of ^^Satisfactory] for what it is.
UndeadMunchies,I can build a mean cube.
MagnaDoodle99,"Wow, just wow!"
scubafork,"\*looks at this post\*  
\*looks at the blocky looking dump I'm building in the same spot\*  
\*cursor hovers over the uninstall button\*"
Egineerfactory,Very nice!
utkarsh_dev,![gif](giphy|r1HGFou3mUwMw|downsized)
Schollenger_,This looks more like a map for valorant the satisfactory. Incredible work!
General_Gremlin,This looks absolutely amazing! Any tips for someone who still struggles with making buildings not look like a block?
Spaardah,My jaw dropped
Rapidplayer45,I thought that this was a real place I could go to. like I could walk around
