author,comment
ZildjianCymbals,Whats the bottom right one?
No-Condition5134,4 if you count the dump I’m about to take
DarkSideRT,"* Silksong
* Armored Core
* Blasphemous 2
* Dead Space Remake
* Resident Evil 4 Remake
* Remnant 2
* Alan Wake 2
* Lies of P
* Planet of Lana
* Like a Dragon: Ishin!
* Stellar Blade
* Stalker 2
* Starfield
* Atomic Heart
* Flintlock
* Zelda TOTK
* FFXVI
* Hades 2
* Space Marine 2
* Forspoken
* Jedi Survivor
* Diablo 4
* Spider-Man 2
* Xenoblade 3 DLC

Edit:

* FFVII Rebirth
* Sons of the Forest
* KSP 2
* Street Fighter 6
* Baldur's Gate 3
* Payday 3"
Anhilliator1,"Armored Core 6.

Ten years, dude."
AshyLarry25,Give me Dragons Dogma 2 or Elden Ring dlc and I’ll be a happy man
Turtleyfirst_Enigma,You forgot Kerbal Space Program 2
Mr_Rio,Baldurs Gate 3
Garlador,"I'm here for Final Fantasy XVI, Street Fighter 6, and Resident Evil 4 Remake."
thedoggydaddy,"You should replace ""The"" in the title with ""My Highly Anticipated"""
American_Jobs365,Hollow knight silksong as well
Bipolarbear22,"As a huge Star Wars fan, I’m looking forward to Jedi: Survivor more than anything. The first game was a masterpiece in my eyes."
Deadsap266,Waiting on Armored core
Josuke96,Lowkey I’m just anxiously waiting for more Wolverine news
Yes-Mum,"The big 3*

*according to this guy"
TSG-AYAN,My biggest one this year is star wars: jedi survivor.
e_ndoubleu,I’m so hyped for BOTW2!
g3n0unknown,Armored Core 6 is going to remind of if the pain of my child hood. I'm ready.
dustin3a,Dark and darker about to pop off too
Correct_Juggernaut24,So ready for starfield and tears of the kingdom
SergeantSanchez,I’m waiting on payday 3
Tony-Gawk,Jedi survivor?
SMJT189,"I'm really on the fence when comes to Starfield. I have a feeling it will feel really unfinish, due to the scale they are promising. But who knows, hopefully I'm wrong."
AdamAdmant,Baulders gate?
BlueNinjaWithAKatana,Armored core is the only game im looking forward to.
Noahs132,I am super duper excited for Spider-Man 2. I really wanna see how they model Venom in the game.
TornUpDishRag,No love for Lee Carvallo’s Putting Challenge 2?
hunterxy,"And another post without titles.

When will this sub make it a rule...."
daikon871,Diablo 4 too
anotheralpaca69,Where's Harry?
PogTuber,I care for none of them and want Hades 2 and Sons of the Forest
QuaccAttacc420,Octopath Traveler 2 and Fire Emblem Engage both look amazing
Rifuzilla1889,"Hopefully Star field dosen’t become the new no mans
sky"
crazy-jay1999,I just bought an Xbox to play Starfield when it comes out
kirbyhm,I’m most excited for Pikmin 4.
Eogard,Diablo 4 will sell like crazy.
FudgeRubDown,Diablo 4
KosherDiploma87,I heard state of play is February if that true. In that case marvel Spider-Man 2 second trailer definitely be next month.
_Friendzone_,Hades 2
Gurdel,Fucking hate it when they don't label shit.
SyncTheory13,I'm most excited about Redfall.
Emeraldjade,diablo 4 is rather huge
Blood-Lord,"Diablo 4 (hopefully!!!)  
Baldurs Gate 3. I've been waiting for this one for over 20 years."
ll_JackKrauser,I am literally getting a job for 2 months to be able to buy re4 remake on release. Thats how much i fucking care.
YourLocalHellspawn,"Armored Core 6, Homeworld 3, Hades 2."
TrueLipo,"Lota of good games coming up (hopefully): armored core 6, homeworld 3, starfield and more but thwse aew what im loomi g forward to the most"
DasMoonen,"I’m worried that Tears of the Kingdom being 6 years after Breath of the Wild is going to feel immediately dated compared to other game releases. Still excited, just nervous."
Survival_R,armored core 6
gloomywisdom,"Guys, listen to me. Armored Core"
ApolloDraconis,I’m looking forward most to Dragon Age Dreadwolf!
LarsihasiSpassi,You forgot Star Wars Jedi Survivor
ladyeclectic79,"I’m seriously pumped for Starfield. If it’s a mix between Mass Effect and Fallout 4, I’ll be over the flipping MOON!!"
Zerphyxios,"RE4R, Payday 3????"
nanotree,"Um, Kerbal Space Program 2?

It's going to be in early access but still excited for what it could become"
bayssa,Is Diablo 4 not a thing or what?
Specialist_Rush_6634,"2023 is going to be a LEGENDARY year in game development if all the games with 2023 release dates don't get delayed to 2024. Legitimately, this is going to rival some of the all time great years of game releases.

ESPECIALLY if Starfield turns out to be Bethesda's return to making cutting edge, industry leading RPG's. For me it has the most potential in both directions. It could blow my expectations out of the water or leave me bitterly disappointed."
balwick,"I know I'm going to put 1000's of hours into Starfield. I have about 5000 between Fallout 4 and Skyrim.

I had some concerns about Starfield, but they've really fallen away as I get more excited, and more details have been revealed. 

E.g.; There are lots of planets, and they were initially procedurally generated, but Artists are working away at polishing them. Also, the Random Encounter system has seen such an improvement that entire structures/dungeons etc. can be spawned, rather than just NPCs as in the days of yore.

Character creation and skill levelling combines the best elements from the catalogue of Bethesda RPG titles; You choose a background which affects starting perks and traits, you can choose extra traits in character creation, skills level through use to unlock new perks. There's also \*unconfirmed\* rumours that your start will have options ala Alternate Start, or I guess Cyberpunk 2077.

Hypedump over.

Also Armored Core making a return? Inject it into my veins pls."
GHLeeroyJenkins,Homeworld 3 you baboons
Budget-Description97,You forgot silksong 😔
po_prostu_Borys,Armored core?
Daydream_machine,"Completely forgot BoTW 2 is this year, can’t wait!"
hails8n,"SILK SONG!!!





🤡"
dugthefreshest,"Good ol BOTW.

Hopefully the Master Sword doesn't need to recharge for 10 real time minutes in this game.

Hopefully weapons, including boss rewards, don't break after 2-3 fights without a option to repair.

I hope the game has a narrative, and not just walking around completing the shrines.

I hope the ""combat challenges"" aren't the same single enemy over and over and over again."
TimOrbitalStar,can't wait to buy skyrim for my smartwatch
syndicatevision,Really pumped for Spider-Man 2! One of the reasons I’m getting a ps5
dragonblade_94,"All I see is a bunch of scrubs sleeping on Armored Core...

Fromsoft mecha here I come."
Thicc_Giorino,I find FFXVI bigger than Spider-Man 2 even though I'm also hyped for it.
NaughtyPwny,Resident Evil 4?
ChicagoTypo,"Not gonna lie, I thought Armored Core deserved a spot on a list like this. Maybe my affinity for FS is blinding  me to reality. Elden Ring's reach only made it worse lol"
mno86,Needs more Yoshi-P and Final Fantasy XVI.
harlojones,Diablo IV gonna be good too tho I bet
phibja,"Diablo 4

11 years since 3 dropped... Insane"
send-me-pickles,Dead island 2?!
Emptymindspaceman,Armored core better be dope after this long of a wait
xXo0wanted0oXx,Armoured core?
Graveylock,ARMORED CORE VI AHHHHHHHH
Help_An_Irishman,"For symmetry's sake, where's Armored Core 6?"
lukrein,You forgot dead space
UbeHopia,Hades 2
TheGhost020,Tf is the bottom right one?
SirToastyDuck,Hades 2 and Silksong gonna sweep so hard
Arnn-The-Frost-Demon,3? I only see Armored Core o.0
Styx1886,RE 4 Remake
Major_Eiswater,Your big 3 releases*
MadLadsHere,"guys payday 3, go get it"
Mental_Warlock1,I'm hyped for LightFall.
Havoc_XXI,Boooooo
ashley_cujoh,Resident evil 4r and Dead Space Remake are pretty big lol.
Pablinski21,Resident Evil baby
DirtyArmChair,And GTA 6….right guys?
MortZeffer,Is no one hyped for Diablo 4 ?
Thin-Zookeepergame46,Forgot Baldurs Gate 3
knetka,What a boring year.
diggydillons,"We all want star-field to be good but I can’t imagine it will live up to the hype, the gameplay looked like no man’s sky"
Pigeon-on-mash,Baldur's gate 3
DirtybirdFFC,SONS OF THE FOREST
Negrodamuswuzhere,"One of my biggest pet peeves about this sub is when people post pictures without labelling things. Like wtf is that? Ok I can see that it's spiderman2, some game with link and then a spaceship in the desert. It really is frustrating to have to come to the comments to see what games are involved, it feels like people are supposed to know every single game all the time."
igg73,Sons of the forest
Pardivile,Bold of you to assume Starfield will release this year
mysteriousneel7,Don't forget the gta 6 trailer
Youria_Tv_Officiel,Uuh ? Kerbal 2 ? Am I the only one ?
DrRhape,Surely this Spider-Man game won’t be the exact same game loop as the others!!
TheBansTheyDoNothing,Just me who thinks 2023 is looking like another sad slow year of no games. Maybe 1-2 im interested in playing thats it.
Sylar299,"Factorio might get it's expansion, I need my fix the mods aren't enough anymore !"
JoJo0666,payday 3
DepartureNatural9340,Stalker 2
Curse3242,Sons of the Forrest is one for me
rcanhestro,"just take the awful durability system in BOTW and it's a simple buy for me.

if it has the system, i won't bother with it.

i fucking hated that."
pantyslack,"Jedi survivor

Lightfall 

Tears of the kingdom"
Fun-Detective1562,"Rubber Suit 2, Girlboy, and Space Ass?  I'll pass on those, thank you."
Tiwanacu,Excuse me!? Where is muh BALDURS GATE 3!? Hmmmmppff
Cats_rule_all,"Space marine 2. Come on now. Yes, I’m excited for BOTW2, buuuuuttttt Space Marine 2 is gonna be a blast."
lifehandsyouanorange,"Starfield…look out.   Remember No Man Sky. 

I’m looking forward to Zelda, Diablo 4, FF16, Spidey, Octopath 2, Jedi Survivor.  Gonna be a great year!!!"
marcoloves,Forgot stalker 2
HaElfParagon,Star Citizen is finally getting out of Alpha this year?
Ziddix,"Please be good starfield, please be good"
pwnedkiller, You forget about RE4 and FF 16?
barto12223332,son of the forest?
zerospaceman,Spider man games lol.
ZonerRoamer,"Really?

Only one of them is big for me. Starfield. 

Other big ones are actually Diablo IV and Baldurs Gate 3."
Kobachalypse,I have Hope's for Diablo 4.
